andrew mackey
mackey bootstrapcdn
bootstrapcdn com
com bootstrap
bootstrap beta
beta css
css bootstrap
bootstrap min
min css
css integrity
integrity sha
sha psh
psh jq
jq sodhvi
sodhvi uxftmaw
uxftmaw vc
vc mkb
mkb rruppvrszue
rruppvrszue povhygtpbfshb
povhygtpbfshb crossorigin
crossorigin anonymous
anonymous jquery
jquery com
com jquery
jquery slim
slim min
min js
js integrity
integrity sha
sha kj
kj dktikvyik
dktikvyik uenzmm
uenzmm kckrr
kckrr re
re qpg
qpg aazgjwfdmvna
aazgjwfdmvna gpgff
gpgff hxpg
hxpg kkn
kkn crossorigin
crossorigin anonymous
anonymous this
this is
is just
just sample
sample file
file to
to see
see how
how you
you process
process text
text am
am mainly
mainly interested
interested in
in seeing
seeing how
how you
you handle
handle various
various html
html tags
tags you
you can
can visit
visit the
the cis
cis uafs
uafs edu
edu nlp
nlp research
research website
website you
you can
can request
request information
information at
at info
info or
or my
my fake
fake email
email amackey
amackey also
also like
like reading
reading about
about water
water or
or my
my office
office phone
phone is
is or
or you
you can
can also
also reach
reach me
me at
at did
did you
you know
know that
that there
there are
are over
over students
students enrolled
enrolled at
at the
the moment
moment there
there are
are also
also more
more than
than people
people in
in the
the us
us like
like fake
fake statistics
statistics did
did you
you know
know that
that people
people like
like ice
ice cream
cream this
this is
is piece
piece of
of ake
ake edu
edu logo
logo jpg
jpg width
width height
height alt
alt university
university of
of arkansas
arkansas fort
fort smith
smith logo
logo also
also like
like reading
reading about
about water
water or
or my
my office
office phone
phone is
is or
or you
you can
can also
also reach
reach me
me at
at this
this file
file is
is interesting
interesting am
am interested
interested in
in how
how you
you handle
handle numbers
numbers and
and special
special characters
characters did
did you
you know
know that
that there
there are
are over
over students
students enrolled
enrolled at
at the
the moment
moment there
there are
are also
also more
more than
than people
people in
in the
the us
us like
like fake
fake statistics
statistics did
did you
you know
know that
that people
people like
like ice
ice cream
cream this
this is
is piece
piece of
of ake
ake or
or does
does it
it equal
equal is
is know
know the
the class
class had
had cake
cake or
or was
was it
it the
the class
class now
now this
this file
file gets
gets bit
bit trickier
trickier org
org tr
tr rec
rec html
html loose
loose dtd
dtd king
king lear
lear entire
entire play
play charset
charset windows
windows media
media screen
screen href
href kinglear
kinglear files
files shake
shake css
css king
king lear
lear mit
mit edu
edu shakespeare
shakespeare shakespeare
shakespeare homepage
homepage mit
mit edu
edu lear
lear king
king lear
lear entire
entire play
play act
act scene
scene king
king palace
palace enter
enter kent
kent gloucester
gloucester and
and edmund
edmund kent
kent thought
thought the
the king
king had
had more
more affected
affected the
the duke
duke of
of albany
albany than
than cornwall
cornwall gloucester
gloucester it
it did
did always
always seem
seem so
so to
to us
us but
but now
now in
in the
the division
division of
of the
the kingdom
kingdom it
it appears
appears not
not which
which of
of the
the dukes
dukes he
he values
values most
most for
for equalities
equalities are
are so
so weighed
weighed that
that curiosity
curiosity in
in neither
neither can
can make
make choice
choice of
of moiety
moiety kent
kent is
is not
not this
this your
your son
son my
my lord
lord gloucester
gloucester his
his breeding
breeding sir
sir hath
hath been
been at
at my
my charge
charge have
have so
so often
often blushed
blushed to
to acknowledge
acknowledge him
him that
that now
